sis_taxon_id,assessment_id,year_published
178899,1545332,2014
178900,1545459,2014
178901,1545576,2014
178902,1545697,2014
178903,1545830,2014
178904,1545966,2014
178905,1546068,2014
178906,1546189,2014
178907,1546311,2014
178908,1546401,2014
178909,1546509,2014
178911,1546789,2014
178912,1546874,2014
178913,1547015,2014
178914,1547164,2014
178916,1547384,2014
178917,1547499,2014
178918,1547635,2014
178920,1547937,2014
178921,1548066,2014
178922,1548158,2014
178923,1548286,2014
178924,1548448,2014
178925,1548553,2014
178926,1548683,2014
178927,1548775,2014
178928,1548899,2014
178929,1549011,2014
178930,1549151,2014
178931,1549278,2014
178932,1549392,2014
178933,1549674,2014
178934,1549801,2014
178935,1549923,2014
178936,1550041,2014
178937,1550164,2014
178938,1550291,2014
178939,1550389,2014
178940,1550483,2014
178941,1550597,2014
178942,1550718,2014
178943,1550891,2014
178944,1551021,2014
178945,1551130,2014
178947,1551377,2014
178948,1551471,2014
178949,1551584,2014
178950,1551732,2014
178951,1551886,2014
178952,1552022,2014
178953,1552152,2014
178954,1552282,2014
178956,1552372,2014
178957,1552464,2014
178958,1552597,2014
178959,1552712,2014
178960,1552829,2014
178961,1552923,2014
178962,1553026,2014
178963,1553147,2014
178965,1553376,2014
178966,1553470,2014
178967,1553555,2014
178968,1553677,2014
178969,1553799,2014
178970,1553904,2014
178971,1554001,2014
178972,1554122,2014
178973,1554260,2014
178974,1554372,2014
178976,1554613,2014
178977,1554737,2014
178979,1555025,2014
178980,1555177,2014
178981,1555295,2014
178982,1555485,2014
178983,1555586,2014
178984,1555688,2014
178985,1555812,2014
178986,1555938,2014
178987,1556047,2014
178988,1556173,2014
178989,1556278,2014
178990,1556413,2014
178991,1556517,2014
178992,1556629,2014
178993,1556848,2014
178994,1556958,2014
178995,1557076,2014
178996,1557179,2014
178997,1557283,2014
178998,1557404,2014
178999,1557506,2014
179000,1557653,2014
179001,1557751,2014
179002,1557941,2014
179003,1558127,2014
179004,1558245,2014
179005,1558366,2014
179006,1558492,2014
179007,1558629,2014
179008,1558756,2014
179009,1558891,2014
179010,1559009,2014
179012,1559132,2014
179013,1559314,2014
179014,1559417,2014
179015,1559519,2014
179016,1559682,2014
179017,1559815,2014
179018,1559917,2014
179019,1560035,2014
179020,1560148,2014
179021,1560258,2014
179022,1560367,2014
179023,1560488,2014
179024,1560736,2014
179025,1560838,2014
179026,1560959,2014
179027,1561076,2014
179028,1561227,2014
179029,1561343,2014
179030,1561443,2014
179031,1561524,2014
179032,1561634,2014
179033,1561765,2014
179034,1561875,2014
179035,1561988,2014
179036,1562099,2014
179037,1562226,2014
179038,1562352,2014
179039,1562457,2014
179040,1562566,2014
179041,1562668,2014
179042,1562789,2014
179043,1562928,2014
179044,1563064,2014
