query,syn_id,syn_name,valid_aphia_id,valid_sciname,error
220077,309309,Monacanthus auratus,220077,Stephanolepis aurata,NA
220077,1621416,Stephanolepis auratus,220077,Stephanolepis aurata,NA
220077,307132,Stephanolepis rectifrons,220077,Stephanolepis aurata,NA
220327,1621417,Lestidiops indopacifica,220327,Lestidiops indopacificus,NA
220327,220328,Lestidium indopacificum,220327,Lestidiops indopacificus,NA
221512,306624,Cyclothone elongata,221512,Sigmops elongatus,NA
221512,306628,Cyclothone rhodadenia,221512,Sigmops elongatus,NA
221512,127296,Gonostoma elongatum,221512,Sigmops elongatus,NA
221512,1577898,Gonostoma elongatus,221512,Sigmops elongatus,NA
221512,306643,Gonostoma polyphos,221512,Sigmops elongatus,NA
221512,306644,Gonostoma rhodadenia,221512,Sigmops elongatus,NA
221512,319620,Neostoma elongatum,221512,Sigmops elongatus,NA
221512,313332,Sigmops elongatum,221512,Sigmops elongatus,NA
221512,313335,Sigmops stigmaticus,221512,Sigmops elongatus,NA
238343,1577400,Acanthostracion guineensis,238343,Acanthostracion guineense,NA
238343,308686,Lactophrys guineensis,238343,Acanthostracion guineense,NA
238343,312876,Ostracion guineense,238343,Acanthostracion guineense,NA
238343,1577399,Ostracion guineensis,238343,Acanthostracion guineense,NA
238343,1621959,Ostracion guineënsis,238343,Acanthostracion guineense,NA
254568,323781,Coregonus fera inarensis,254568,Coregonus pidschian,NA
254568,322870,Coregonus lavaretus pidschian,254568,Coregonus pidschian,NA
254568,322871,Coregonus lavaretus pidschianoides,254568,Coregonus pidschian,NA
254568,305921,Coregonus polcur,254568,Coregonus pidschian,NA
254568,305927,Coregonus sikus,254568,Coregonus pidschian,NA
254568,305928,Coregonus smitti,254568,Coregonus pidschian,NA
254568,306055,Salmo pidschian,254568,Coregonus pidschian,NA
254568,306057,Salmo polcur,254568,Coregonus pidschian,NA
254568,306078,Salmo sikus,254568,Coregonus pidschian,NA
271324,298438,Carcharhinus perezi,271324,Carcharhinus perezii,NA
271324,298444,Carcharhinus springeri,271324,Carcharhinus perezii,NA
271324,317967,Eulamia springeri,271324,Carcharhinus perezii,NA
271324,320412,Platypodon perezii,271324,Carcharhinus perezii,NA
271485,1533285,Holorhinus californicus,271485,Myliobatis californica,NA
271485,298810,Myliobatis californicus,271485,Myliobatis californica,NA
271485,298823,Rhinoptera encenadae,271485,Myliobatis californica,NA
271485,298826,Rhinoptera vespertilio,271485,Myliobatis californica,NA
271542,320910,Raia chilensis,271542,Dipturus chilensis,NA
271542,298884,Raja chilensis,271542,Dipturus chilensis,NA
271542,298950,Raja latastei,271542,Dipturus chilensis,NA
271542,298989,Raja oxyptera,271542,Dipturus chilensis,NA
271542,299032,Raja stabuliforis,271542,Dipturus chilensis,NA
271542,315953,Zearaja chilensis,271542,Dipturus chilensis,NA
271552,298838,Dipturus leptocaudus,271552,Dipturus leptocauda,NA
271552,298955,Raja leptocauda,271552,Dipturus leptocauda,NA
271555,298979,Raja nasuta,271555,Dipturus nasutus,NA
271555,398319,Zearaja nasuta,271555,Dipturus nasutus,NA
271555,712965,Zearaja nasutus,271555,Dipturus nasutus,NA
271562,298841,Dipturus trachydermus,271562,Dipturus trachyderma,NA
271562,399720,Raja trachiderma,271562,Dipturus trachyderma,NA
271562,299046,Raja trachyderma,271562,Dipturus trachyderma,NA
271871,311690,Lycodontis polyuranodon,271871,Gymnothorax polyuranodon,NA
271871,1592847,Muraena blematigrina,271871,Gymnothorax polyuranodon,NA
271871,299654,Muraena polyuranodon,271871,Gymnothorax polyuranodon,NA
271871,1620863,Polyuranodon kuhli,271871,Gymnothorax polyuranodon,NA
271871,1419502,Polyuranodon kuhlii,271871,Gymnothorax polyuranodon,NA
271871,1016618,Uropterygius fijiensis,271871,Gymnothorax polyuranodon,NA
271995,1022450,Anguilla puncticulata,271995,Pisodonophis hijala,NA
271995,1623721,Ophichthus hijala,271995,Pisodonophis hijala,NA
271995,299780,Ophisurus hijala,271995,Pisodonophis hijala,NA
272091,1621420,Lestidiops extrema,272091,Lestidiops extremus,NA
272091,308663,Lestidium extremum,272091,Lestidiops extremus,NA
272724,317661,Dasyscopelus orientalis,272724,Myctophum orientale,NA
