iucn_sciname,worms_valid_sciname,sis_taxon_id,iucn_assessment_id,aphia_id,aquax,notes
exyrias belissimus,exyrias belissimus,193073,2191519,219465,SDM,NA
gobiopsis quinquecincta,gobiopsis quinquecincta,193074,2191703,277790,SDM,NA
vanderhorstia ambanoro,vanderhorstia ambanoro,193075,2191768,219602,SDM,NA
eviota zebrina,eviota zebrina,193076,2191917,219451,SDM,NA
echinogobius hayashii,echinogobius hayashii,193077,2192038,280583,No SDM,NA
eviota sigillata,eviota sigillata,193078,2192156,219453,SDM,NA
amblyeleotris ellipse,amblyeleotris ellipse,193079,2192264,278964,No SDM,NA
bathygobius cyclopterus,bathygobius cyclopterus,193080,2192358,209210,SDM,NA
amblygobius sphynx,amblygobius sphynx,193082,2192677,219380,SDM,NA
callogobius hastatus,callogobius hastatus,193084,2192920,278879,SDM,NA
valenciennea strigata,valenciennea strigata,193085,2193044,219599,SDM,NA
amblyeleotris harrisorum,amblyeleotris harrisorum,193086,2193383,278969,No SDM,NA
pleurosicya australis,pleurosicya australis,193087,2193475,278435,No SDM,NA
cryptocentrus inexplicatus,cryptocentrus inexplicatus,193088,2193558,278330,SDM,NA
trimma nasa,trimma nasa,193089,2193665,278506,SDM,NA
cryptocentrus leucostictus,cryptocentrus leucostictus,193090,2193766,278335,SDM,NA
bryaninops ridens,bryaninops ridens,193091,2193934,219394,SDM,NA
bryaninops yongei,bryaninops yongei,193093,2194288,219391,SDM,NA
sicyopterus eudentatus,sicyopterus eudentatus,193095,2194475,277429,No SDM,NA
sueviota atrinasa,sueviota atrinasa,193096,2194603,276880,SDM,NA
priolepis cincta,priolepis cincta,193097,2194695,219549,SDM,NA
priolepis fallacincta,priolepis fallacincta,193098,2194958,276766,SDM,NA
amblygobius esakiae,amblygobius esakiae,193099,2195100,278652,No SDM,NA
oxyurichthys papuensis,oxyurichthys papuensis,193100,2195204,126921,SDM,NA
priolepis farcimen,priolepis farcimen,193101,2195393,276767,No SDM,NA
amblyeleotris randalli,amblyeleotris randalli,193102,2195504,278980,SDM,NA
stonogobiops nematodes,stonogobiops nematodes,193103,2195652,219571,SDM,NA
psilogobius prolatus,psilogobius prolatus,193104,2195764,282486,No SDM,NA
cryptocentroides insignis,cryptocentroides insignis,193105,2195856,280446,SDM,NA
gobiodon citrinus,gobiodon citrinus,193106,2196006,219479,SDM,NA
eviota infulata,eviota infulata,193107,2196245,219458,SDM,NA
eviota afelei,eviota afelei,193108,2196381,278580,SDM,NA
trimma emeryi,trimma emeryi,193109,2196524,219583,SDM,NA
eviota partimacula,eviota partimacula,193110,2196617,398636,No SDM,NA
vanderhorstia attenuata,vanderhorstia attenuata,193111,2196711,398668,No SDM,NA
gobiodon okinawae,gobiodon okinawae,193112,2196805,276931,SDM,NA
sicyopterus lividus,sicyopterus lividus,193113,2196973,277434,No SDM,NA
ctenogobiops maculosus,ctenogobiops maculosus,193114,2197086,219435,SDM,NA
amblyeleotris fasciata,amblyeleotris fasciata,193115,2197181,278965,SDM,NA
