group,sis_taxon_id,assessment_id,year_published
birds,22692241,280940700,2025
birds,22695313,280940883,2025
birds,22707606,280941063,2025
birds,22726539,280941350,2025
birds,22715275,280941565,2025
birds,22726032,280941759,2025
birds,22696336,280941971,2025
birds,103889573,280942139,2025
birds,22709646,280942355,2025
birds,22715779,280942533,2025
birds,22684548,280942701,2025
birds,22681474,280942903,2025
birds,22680967,280943066,2025
birds,22690364,280943302,2025
birds,22697017,280943528,2025
birds,22679103,280944051,2025
birds,22732863,280944216,2025
birds,22715967,280944373,2025
birds,103879454,280944603,2025
birds,22697528,280944786,2025
birds,22710325,280944994,2025
birds,22692907,280945700,2025
birds,22727212,280946221,2025
birds,22727721,280946400,2025
birds,22718505,280946603,2025
birds,22681124,280946929,2025
birds,22695462,280947562,2025
birds,22727206,280947853,2025
birds,103821072,280948065,2025
birds,22683227,280948270,2025
birds,22725212,280948567,2025
birds,22683744,280948777,2025
birds,22697043,280949218,2025
birds,22695508,280950692,2025
birds,22720084,280950890,2025
birds,22735960,280951112,2025
birds,22718550,280951288,2025
birds,103716095,280951816,2025
birds,22710858,280952161,2025
birds,22709834,280952412,2025
birds,103834344,280952596,2025
birds,22714948,280952832,2025
birds,103693557,280953016,2025
birds,22693959,280953207,2025
birds,22697468,280953432,2025
birds,22697472,280953692,2025
birds,22689280,280953944,2025
birds,22683645,280954102,2025
birds,22725117,280954893,2025
birds,22679032,280955082,2025
birds,103778625,280955288,2025
birds,22681060,280955577,2025
birds,22712804,280955785,2025
birds,22706657,280955978,2025
birds,22715873,280956187,2025
birds,22715879,280956386,2025
birds,22681064,280956592,2025
birds,22716392,280956800,2025
birds,103878477,280956969,2025
birds,22691302,280957235,2025
birds,103804241,280957422,2025
birds,103776048,280957593,2025
birds,22716443,280957797,2025
birds,22734364,280957990,2025
